IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Package,Datasheet,Mouser-PN,DigiKey-PN
CAP-0000-008P,06033A8R0DAT2A,KYOCERA AVX,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 8pF C0G 0603 0.5pF,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,8pF,25V,C0G (NP0),0.5pF,0603,https://www.mouser.it/datasheet/2/40/C0GNP0_Dielectric-2952720.pdf,581-06033A8R0DAT2A,
CAP-0000-016P,06033A160JAT2A,KYOCERA AVX,Multilayer Ceramic Capacitors MLCC - SMD/SMT T101 COMMERCIAL,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,16pF,25V,C0G (NP0),5%,0603,https://www.mouser.it/datasheet/2/40/C0GNP0_Dielectric-2952720.pdf,581-06033A160JAT2A,
CAP-0001-022U,GRM188C61C226ME01J,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 16VDC X5S 22uF 20%,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,22uF,16V,X5S,20%,0603,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188C61C226ME01-01A.pdf,81-GRM188C61C226ME1J,
CAP-0002-100U,C3216X5R1A107M160AC,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1206 10V 100uF X5R 20% T: 1.6mm,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_1206_3216Metric,100uF,10V,X5R,20%,1206,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=mouser,810-C3216X5R1A107M,
CAP-0003-010N,C0603C103J1RACAUTO7411,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 10nF X7R 0603 5% AEC-Q200,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,10nF,100V,X7R,5%,0603,https://www.mouser.it/datasheet/2/447/KEM_C1023_X7R_AUTO_SMD-3316698.pdf,80-C0603C103J1RAULR,
CAP-0003-100N,C0603C104J1RACAUTO7411,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V  100nF 5% X7R 1608 AEC-Q200,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,100nF,100V,X7R,5%,0603,https://www.mouser.it/datasheet/2/447/KEM_C1023_X7R_AUTO_SMD-3316698.pdf,80-C0603C104J1RAUTO7,
CAP-0004-022U,GRM21BZ71A226ME15L,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF 10 VDC 20% 0805 X7R,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0805_2012Metric,22uF,10V,X7R,20%,0805,https://www.mouser.it/datasheet/2/281/1/GRM21BZ71A226ME15_01A-1987054.pdf,81-GRM21BZ71A226ME5L,
CAP-0004-010U,GRM21BZ71C106KE15L,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 16 VDC 10% 0805 X7R,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0805_2012Metric,10uF,16V,X7R,10%,0805,https://www.mouser.it/datasheet/2/281/1/GRM21BZ71C106KE15_01A-1987088.pdf,81-GRM21BZ71C106KE5L,
CAP-0005-001U,EMK107B7105KA8T,TAIYO YUDEN,Multilayer Ceramic Capacitors MLCC - SMD/SMT 963-BASE168SB7105KT RPLCMT PN 16V 1uF X7R 0603 10%,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,1uF,16V,X7R,10%,0603,https://www.mouser.it/datasheet/2/396/mlcc06_hq_AUTO_e-1901145.pdf,963-EMK107B7105KA8T,
CAP-0006-02U2,MLASE168BB7225KTNA01,TAIYO YUDEN,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 2.2uF X7R 0603 10% Medical,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,2.2uF,16V,X7R,10%,0603,https://www.mouser.it/datasheet/2/396/ML_mlcc_all_e-3369844.pdf,963-MLASE168BB7225KT,
CAP-0007-470N,TMF107B7474KAHT,TAIYO YUDEN,Multilayer Ceramic Capacitors MLCC - SMD/SMT 963-MAAST168SB7474KT RPLCMT PN 25V 470nF X7R 0603 AEC-Q200,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,470nF,25V,X7R,10%,0603,https://www.mouser.it/datasheet/2/396/Taiyo_Yuden_05182021_TMF_Data_Sheet-2326856.pdf,963-TMF107B7474KAHT,
CAP-0008-04U7,GRM188Z71C475KE21D,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7 uF 16 VDC 10% 0603 X7R,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,4.7uF,16V,X7R,10%,0603,https://www.mouser.it/datasheet/2/281/1/GRM188Z71C475KE21_01A-1986016.pdf,81-GRM188Z71C475KE1D,
CAP-0009-001M,MAL215099014E3,Vishay,Aluminium Electrolytic Capacitors - SMD 35V 1000uF 20% AEC-Q200,KiPLM_Symbols:Capacitor_Polarized,Capacitor_SMD:CP_Elec_16x17.5,1000uF,35V,,20%,,https://www.vishay.com/doc?28395,594-MAL215099014E3,
CAP-0003-001N,C0603C102K1RACAUTO7411,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 1nF 0603 X7R 10% AEC-Q200,KiPLM_Symbols:Capacitor,Capacitor_SMD:C_0603_1608Metric,1nF,100V,X7R,10%,0603,https://www.mouser.it/datasheet/2/447/KEM_C1023_X7R_AUTO_SMD-3316698.pdf,80-C0603C102K1RAULR,
