IPN,MPN,Manufacturer,Description,Symbol,Footprint,Pins,Datasheet,Mouser-PN,DigiKey-PN
CON-0000-0080,505110-0892,Molex,FC & FPC Connectors 0.5 FPC ZIF BTM CONT EMBT PKG 8Ckt,KiPLM_Symbols:FFC_Prog_Conn,KiPLM_Footprints:Molex_505110-0892,8,https://www.molex.com/en-us/products/part-detail/5051100892?display=pdf,538-505110-0892,
CON-0001-0120,USB4105-GF-A-120,Global Connector Technology (GCT),"USB Connectors USB Type C, 2.0 SMT PCB Top Mnt 1.20mm",Connector:USB_C_Receptacle_USB2.0_16P,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,https://www.mouser.it/datasheet/2/837/Global_Connector_Technology_usb4105-3106202.pdf,640-USB4105-GF-A-120,
CON-0002-4048,4048,Adafruit,Mini SWD 0.05 Pitch Connector - 10 Pin SMT Header,Connector:Conn_ARM_JTAG_SWD_10,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,,,485-4048,
CON-0003-0POE,G7LX-A88S7-BP-G/Y,Kycon,Modular Connectors / Ethernet Connectors RJ45 MOD JCK 10/100 MAGN n POE LED TB-UP,Connector:RJ45_Kycon_G7LX-A88S7-BP-GY,Connector_RJ:RJ45_Kycon_G7LX-A88S7-BP-xx_Horizontal,8,https://www.mouser.it/datasheet/2/222/G7LX-1620801.pdf,806-G7LX-A88S7-BP-GY,
CON-0004-E036,10018783-10200TLF,Amphenol,Connettori PCI Express/PCI PCI Express GEN 3 Card Edge conn Vertical Through Hole 36 Positions 100mm Pitch,KiPLM_Symbols:PCIe_x1_Connector,KiPLM_Footprints:Amphenol_10018783-10200TLF,36,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_gen3.pdf,649-1001878310200TLF,
CON-0004-E064,10018783-10201TLF,Amphenol,Connettori PCI Express/PCI PCI Express GEN 3 Card Edge conn Vertical Through Hole 64 Positions 100mm Pitch,KiPLM_Symbols:PCIe_x4_Connector,KiPLM_Footprints:Amphenol_10018783-10201TLF,64,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_gen3.pdf,649-1001878310201TLF,
CON-0004-E098,10018783-10202TLF,Amphenol,Connettori PCI Express/PCI PCI Express GEN 3 Card Edge conn Vertical Through Hole 98 Positions 100mm Pitch,KiPLM_Symbols:PCIe_x8_Connector,KiPLM_Footprints:Amphenol_10018783-10202TLF,98,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_gen3.pdf,649-1001878310202TLF,
CON-0004-E164,10018783-10203TLF,Amphenol,Connettori PCI Express/PCI PCI Express GEN 3 Card Edge conn Vertical Through Hole 164 Positions 100mm Pitch,KiPLM_Symbols:PCIe_x16_Connector,KiPLM_Footprints:Amphenol_10018783-10203TLF,164,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_gen3.pdf,649-10018783-1203TLF,
CON-0005-1001,10164227-1001A1RLF,Amphenol,"Raspberry Pi Compute Module 4/5 conn, 0mm PCB clearance",,,100,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/10164227.pdf,649-01642271001A1RLF,
CON-0005-1004,10164227-1004A1RLF,Amphenol,"Raspberry Pi Compute Module 4/5 conn, 2.5mm PCB clearance",,,100,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/10164227.pdf,649-101642271004RLF,
CON-0006-420M,MDT420M01001,Amphenol,"PCIe M.2 Connector, M key, h=4.2mm, 30u Gold Plating, 5000 Insertion Cycles",KiPLM_Symbols:PCIe_M2_Connector_M_Key,KiPLM_Footprints:Amphenol_MDT420M01001,67,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_m2.pdf,523-MDT420M01001,
CON-0006-420E,MDT420E01001,Amphenol,"PCIe M.2 Connector, E key, h=4.2mm, 30u Gold Plating, 5000 Insertion Cycles",KiPLM_Symbols:PCIe_M2_Connector_E_Key,KiPLM_Footprints:Amphenol_MDT420E01001,67,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_m2.pdf,523-MDT420E01001,
CON-0007-3609,61082-163609LF,Amphenol,Mezzanine Connector BerkStak 0.8mm Receptacle (Economic option),KiPLM_Symbols:Connector_2x80_Female,KiPLM_Footprints:Amphenol_61082-163X0X,160,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstak_08mm_mezzanine.pdf,649-61082-163609LF,
CON-0008-2602,61083-162602LF,Amphenol,Mezzanine Connector BerkStak 0.8mm (Economic option),KiPLM_Symbols:Connector_2x80_Male,KiPLM_Footprints:Amphenol_61083-162X0X,160,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstak_08mm_mezzanine.pdf,649-61083-162602LF,
CON-0009-N126,A70-112-331N126,EDAC,Modular Connectors / Ethernet Connectors,KiPLM_Symbols:MagJack-A70-112-331N126,KiPLM_Footprints:TRJG0926HENL,8,https://eu.mouser.com/datasheet/2/123/10/LPJG0926HENL-3518799.pdf,587-A70-112-331N126,
CON-0010-1001,208658-1001,Molex,"HDMI, Displayport & DVI Connectors 0.5mm HDMI Recep RA 19CKT",Connector:HDMI_A_1.4,Connector_Video:HDMI_A_Molex_208658-1001_Horizontal,,https://www.molex.com/en-us/products/part-detail-pdf/2086581001?display=pdf,538-208658-1001,
CON-0011-22VA,FH12-22S-0.5SVA(54),Hirose Electric,FFC & FPC Connectors 0.5MM 22P SMT VERT MNT SELECT GLD,Connector_Generic:Conn_01x22,KiPLM_Footprints:Hirose_FH12-22S-0.5SVA,22,https://www.mouser.it/datasheet/2/185/FH12_22S_0_5SVA_54__CL0586_0813_6_54_2DDrawing_000-1614848.pdf,798-FH1222S0.5SVA54,
CON-0012-1598,12401598E4#2A,Amphenol,USB Connectors USB TYPE C RCPT R/A HYBRID DUAL SMT,Connector:USB_C_Receptacle,Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A,24,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_type_c.pdf,523-12401598E4#2A,
CON-0013-0000,DM3AT-SF-PEJM5,Hirose Electric,Memory Card Connectors R/A SMT MICROSD CON PUSH-PUSH TOP BRDMNT,Connector:Micro_SD_Card_Det_Hirose_DM3AT,Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5,,https://www.mouser.it/datasheet/2/185/DM3AT_SF_PEJM5_CL0609_0031_0_00_2DDrawing_00009471-1614303.pdf,798-DM3AT-SF-PEJM5,
CON-0014-1000,47053-1000,Molex,PWM Fan Connector,Motor:Fan_Tacho_PWM,Connector:FanPinHeader_1x04_P2.54mm_Vertical,4,https://www.molex.com/en-us/products/part-detail-pdf/470531000?display=pdf,538-47053-1000,
CON-0015-70SK,ERF8-075-07.0-S-DV-K-TR,Samtec,Mezzanine Connector 0.80 mm Socket 30u Gold Plating,KiPLM_Symbols:Connector_2x75_Female,KiPLM_Footprints:Samtec_ERF8-075-07.0,150,https://www.mouser.it/datasheet/2/527/erf8-2854116.pdf,200-ERF8075070SDVKTR,
CON-0016-90SK,ERM8-075-09.0-S-DV-K-TR,Samtec,Mezzanine Connector 0.80 mm Plug 30u Gold Plating,KiPLM_Symbols:Connector_2x75_Male,KiPLM_Footprints:Samtec_ERM8-075-09.0,150,https://www.mouser.it/datasheet/2/527/erm8-2854055.pdf,200-ERM8075090SDVKTR,
CON-0017-1204,1785968,Phoenix Contact,"ICV 2,5/ 4-G-5,08 Pluggable Terminal Blocks 4 Pos 5.08mm pitch Thru Hole Invert Hdr",Connector_Generic:Conn_01x04,,4,https://www.phoenixcontact.com/us/products/1785968/pdf,651-1785968,
CON-0018-1204,1755752,Phoenix Contact,"MSTBVA 2,5/ 4-G-5,08 Pluggable Terminal Blocks 4 Pos 5.08mm pitch Through Hole Header",Connector_Generic:Conn_01x04,"Connector_Phoenix_MSTB:PhoenixContact_MSTBVA_2,5_4-G-5,08_1x04_P5.08mm_Vertical",4,https://www.phoenixcontact.com/us/products/1755752/pdf,651-1755752,
CON-0019-0000,12401948E412A,Amphenol,"USB Connectors USB2.0, Type C, Receptacle, Mid mount, Center Height 0.65mm, Single Row SMT",Connector:USB_C_Receptacle_USB2.0_16P,Connector_USB:USB_C_Receptacle_Amphenol_12401948E412A,16,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/c12401948.pdf,523-12401948E412A,
